Method,Macro-F1,Macro-FPR,Pareto optimal
Governed router,0.33833985574639647,0.14067773811633458,True
Rule-only,0.27534328907831673,0.05741160139405753,True
Local Outlier Factor,0.2749411100689996,0.08187264457439895,False
Detector consensus,0.26567329944883245,0.11722950473827669,False
Hybrid V1 (uncalibrated),0.26244700602205495,0.11252017248508477,False
Hybrid V3 (detection component),0.25529062367966976,0.06807108680792892,False
Isolation Forest,0.09325518885061206,0.045611579453684714,True
