dataset,trust_band,records,true_anomalies,predicted_anomalies,mean_hybrid_risk,mean_hybrid_trust
finance,HIGH_TRUST,146300,3274,9703,0.15769586964456594,0.842304130355434
finance,LOW_TRUST,395,224,395,0.5437967392405063,0.4562032607594937
finance,MODERATE_TRUST,63305,7702,21907,0.31865160488113103,0.681348395118869
healthcare,HIGH_TRUST,145861,1693,1592,0.1466604976621578,0.8533395023378423
healthcare,LOW_TRUST,641,639,641,0.5352076310452418,0.46479236895475823
healthcare,MODERATE_TRUST,63498,8868,14240,0.30166784520772305,0.698332154792277
retail,HIGH_TRUST,132909,1398,8893,0.15066678973019135,0.8493332102698087
retail,LOW_TRUST,859,482,859,0.549103894644936,0.450896105355064
retail,MODERATE_TRUST,76232,9320,20607,0.35107959697043234,0.6489204030295677
