method,precision_mean,precision_std,precision_median,precision_min,precision_max,recall_mean,recall_std,recall_median,recall_min,recall_max,f1_mean,f1_std,f1_median,f1_min,f1_max,false_positive_rate_mean,false_positive_rate_std,false_positive_rate_median,false_positive_rate_min,false_positive_rate_max,false_negative_rate_mean,false_negative_rate_std,false_negative_rate_median,false_negative_rate_min,false_negative_rate_max,specificity_mean,specificity_std,specificity_median,specificity_min,specificity_max,accuracy_mean,accuracy_std,accuracy_median,accuracy_min,accuracy_max,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_median,balanced_accuracy_min,balanced_accuracy_max,pr_auc_mean,pr_auc_std,pr_auc_median,pr_auc_min,pr_auc_max
AI_CONSENSUS,0.4236442670803426,0.38250414473372946,0.2545846817691478,0.007984031936127744,1.0,0.45533138863455663,0.42147425837354013,0.23,0.010416666666666666,1.0,0.30631126611485915,0.33194647877810235,0.13465101914762198,0.015080113100848256,1.0,0.0849373671466499,0.06890037413049778,0.07944546756701452,0.0,0.18140350877192982,0.5446686113654434,0.42147425837354013,0.77,0.0,0.9895833333333334,0.6928404106311279,0.376849692489243,0.8331481481481482,0.0,0.9884480160723255,0.7495476251338629,0.2830099279718677,0.8276666666666667,0.010416666666666666,1.0,0.5740858996328423,0.2798427608732888,0.5224747474747475,0.005208333333333333,0.9939728779507785,0.25914740133246333,0.2089009452604855,0.21735260141558707,0.00960562816061659,0.6929189261873457
HYBRID_V1,0.3961524345587089,0.38137580445751235,0.23732345450335726,0.005847953216374269,1.0,0.48675100523130743,0.34453906885777785,0.40707964601769914,0.07760314341846758,1.0,0.29260647962413977,0.23808590853819775,0.20201785921373072,0.011264080100125156,0.9174734900875979,0.154791850369653,0.10059403160483185,0.19940658890935134,0.0,0.2615789473684211,0.5132489947686926,0.34453906885777774,0.5929203539823009,0.0,0.9223968565815324,0.6229859274081248,0.3403533493250058,0.7581481481481481,0.0,0.9608237066800602,0.6545226494305264,0.2346785352683666,0.738,0.09433962264150944,0.9642,0.5548684663197161,0.27992781552264007,0.5665740740740741,0.04716981132075472,0.969115193222152,0.2894168031071224,0.2614166608639028,0.21681024867892065,0.010479785766041505,0.9510297927518006
ISOLATION_FOREST,0.3577944953084883,0.37316126734319255,0.18997756170531038,0.005361930294906166,1.0,0.1526087715751922,0.2813371914063751,0.061933200619332,0.009040880503144654,1.0,0.11161563918642498,0.16645776731850528,0.051593323216995446,0.009237875288683603,0.7782101167315175,0.045201455792196206,0.02994579473277531,0.06333333333333334,0.0,0.07108630700715937,0.8473912284248077,0.28133719140637503,0.938066799380668,0.0,0.9909591194968553,0.7325763219855815,0.3951081245497237,0.9321269519138621,0.0,0.991210447011552,0.6702096398135551,0.3576524402476182,0.8357,0.009040880503144654,0.943,0.4425925467803869,0.26998819066473095,0.5014035087719299,0.004520440251572327,0.9691919191919192,0.19003127829112787,0.16630270181999213,0.1782773102486908,0.010023415003185598,0.7198316262345988
LOCAL_OUTLIER_FACTOR,0.47738479435405623,0.40068070819536356,0.4,0.0,1.0,0.3750712899689223,0.433563982582992,0.14,0.0,1.0,0.29117371385230617,0.3635709583249794,0.11397331356560415,0.0,1.0,0.04790137970063127,0.05824698548259871,0.013812154696132596,0.0,0.13736842105263158,0.6249287100310776,0.433563982582992,0.86,0.0,1.0,0.7298763980771464,0.39672039310584395,0.8754208754208754,0.0,0.9994977398292315,0.7751560663909773,0.2978662615571754,0.8728333333333333,0.0013757861635220125,1.0,0.5524738440230345,0.2789685441159896,0.503421052631579,0.0006878930817610062,0.9992466097438473,0.306865430281837,0.3135565305827597,0.1964661545923127,0.010203612391741057,1.0
RULE_ONLY,0.04994988529931446,0.0706750152452725,0.009950248756218905,0.0,0.23721503388786197,0.042596656245417204,0.03843434696793943,0.059734513274336286,0.0,0.11061946902654868,0.03907598935359642,0.04410364175328146,0.017316017316017316,0.0,0.12562732718147968,0.04995009406618103,0.03626887108906439,0.06700336700336701,0.0,0.0873441436785322,0.9574033437545828,0.03843434696793944,0.9402654867256637,0.8893805309734514,1.0,0.7278276837115967,0.39291801200226767,0.918610599549826,0.0,1.0,0.655852380952381,0.35791089388934466,0.82175,0.0,0.9255,0.385212169978507,0.20789368843665929,0.49750000000000005,0.0,0.5181481481481481,0.1035327394186059,0.07938216312126235,0.10006730769230769,0.009833333333333333,0.22700079364008557
