comparison,f1_wins,f1_ties,f1_losses,lower_fpr_wins,equal_fpr_ties,higher_fpr_losses,mean_f1_difference,mean_fpr_difference
HYBRID_V3_GOVERNED vs AI_CONSENSUS,42,0,21,21,0,42,0.072666556297564,0.023448233378057966
HYBRID_V3_GOVERNED vs RULE_ONLY,36,0,27,0,0,63,0.06299656666807973,0.08326613672227709
HYBRID_V3_GOVERNED vs HYBRID_V1,35,0,28,21,0,42,0.07589284972434149,0.028157565631249878
HYBRID_V3_GOVERNED vs HYBRID_V3_NESTED,34,5,24,0,15,48,0.08304923206672658,0.07260665130840571
HYBRID_V3_NESTED vs AI_CONSENSUS,38,0,25,44,0,19,-0.010382675769162625,-0.04915841793034772
HYBRID_V3_NESTED vs HYBRID_V1,32,0,31,62,0,1,-0.007156382342385132,-0.04444908567715581
