method,experiments,macro_precision,macro_recall,macro_f1,macro_fpr,macro_fnr,macro_balanced_accuracy,macro_pr_auc
HYBRID_V3_GOVERNED,63,0.2783844618408608,0.7162698412698413,0.3383398557463964,0.1406777381163346,0.2837301587301587,0.7877960515767534,0.2695742608310937
RULE_ONLY,63,0.22788920785177938,0.44271428571428567,0.27534328907831673,0.05741160139405753,0.5572857142857143,0.692651342160114,0.3183412636753215
LOCAL_OUTLIER_FACTOR,63,0.2715508793800801,0.40853968253968254,0.2749411100689996,0.08187264457439895,0.5914603174603175,0.6633335189826417,0.33145041660895935
AI_CONSENSUS,63,0.23866431348252504,0.4845238095238095,0.26567329944883245,0.11722950473827667,0.5154761904761905,0.6836471523927664,0.15482053452939154
HYBRID_V1,63,0.20768832334030624,0.5439365079365079,0.26244700602205495,0.11252017248508477,0.45606349206349206,0.7157081677257116,0.2695742608310937
ISOLATION_FOREST,63,0.0918360248029197,0.153984126984127,0.09325518885061206,0.045611579453684714,0.846015873015873,0.5541862737652211,0.11554284546774791
