hybrid_run_id,policy_version,experiment_id,dataset,anomaly_type,anomaly_rate,method,records,true_anomalies,predicted_anomalies,tp,tn,fp,fn,precision,recall,f1,false_positive_rate,false_negative_rate,specificity,accuracy,balanced_accuracy,pr_auc
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,finance_A1_r01_s42,finance,A1,0.01,RULE_ONLY,20000,452,1676,30,17902,1646,422,0.017899761336515514,0.06637168141592921,0.02819548872180451,0.08420298751790464,0.9336283185840708,0.9157970124820953,0.8966,0.49108434694901226,0.022288037256848373
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,finance_A1_r01_s42,finance,A1,0.01,ISOLATION_FOREST,20000,452,1380,25,18193,1355,427,0.018115942028985508,0.05530973451327434,0.027292576419213975,0.06931655412318395,0.9446902654867256,0.9306834458768161,0.9109,0.4929965901950452,0.021870409389030246
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,finance_A1_r01_s42,finance,A1,0.01,LOCAL_OUTLIER_FACTOR,20000,452,277,8,19279,269,444,0.02888086642599278,0.017699115044247787,0.02194787379972565,0.013760998567628403,0.9823008849557522,0.9862390014323716,0.96435,0.5019690582383097,0.024060659852301332
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,finance_A1_r01_s42,finance,A1,0.01,AI_CONSENSUS,20000,452,1580,31,17999,1549,421,0.019620253164556962,0.06858407079646017,0.03051181102362205,0.07924084305299775,0.9314159292035398,0.9207591569470023,0.9015,0.4946716138717312,0.02269451679403736
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,finance_A1_r01_s42,finance,A1,0.01,HYBRID_V1,20000,452,4086,79,15541,4007,373,0.019334312285854135,0.1747787610619469,0.03481710004407228,0.20498260691630857,0.8252212389380531,0.7950173930836915,0.781,0.4848980770728192,0.024212107854459732
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,finance_A1_r05_s43,finance,A1,0.05,RULE_ONLY,20000,2261,1656,189,16272,1467,2072,0.11413043478260869,0.08359133126934984,0.09650242532550421,0.08269913749365804,0.9164086687306502,0.9173008625063419,0.82305,0.5004460968878459,0.11314031498182797
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,finance_A1_r05_s43,finance,A1,0.05,ISOLATION_FOREST,20000,2261,1374,138,16503,1236,2123,0.10043668122270742,0.06103494029190624,0.07592847317744154,0.06967698291899205,0.9389650597080937,0.930323017081008,0.83205,0.4956789786864571,0.11003824044490604
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,finance_A1_r05_s43,finance,A1,0.05,LOCAL_OUTLIER_FACTOR,20000,2261,297,43,17485,254,2218,0.1447811447811448,0.01901813356921716,0.033620015637216574,0.01431873273577992,0.9809818664307829,0.9856812672642201,0.8764,0.5023497004167187,0.11553527975777568
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,finance_A1_r05_s43,finance,A1,0.05,AI_CONSENSUS,20000,2261,1604,173,16308,1431,2088,0.10785536159600997,0.07651481645289694,0.08952134540750323,0.0806697108066971,0.9234851835471031,0.9193302891933028,0.82405,0.4979225528230999,0.11184361708567439
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,finance_A1_r05_s43,finance,A1,0.05,HYBRID_V1,20000,2261,4091,447,14095,3644,1814,0.10926423857247616,0.1977001326846528,0.14074307304785894,0.20542307909126784,0.8022998673153472,0.7945769209087322,0.7271,0.4961385267966925,0.11192844491431646
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,finance_A1_r10_s44,finance,A1,0.1,RULE_ONLY,20000,4521,1707,355,14127,1352,4166,0.20796719390743995,0.0785224507852245,0.11400128452151574,0.0873441436785322,0.9214775492147755,0.9126558563214678,0.7241,0.49558915355334615,0.2246300937485382
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,finance_A1_r10_s44,finance,A1,0.1,ISOLATION_FOREST,20000,4521,1337,254,14396,1083,4267,0.18997756170531038,0.05618226056182261,0.08671901672925914,0.06996576006201952,0.9438177394381774,0.9300342399379805,0.7325,0.49310825024990157,0.21503378415314578
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,finance_A1_r10_s44,finance,A1,0.1,LOCAL_OUTLIER_FACTOR,20000,4521,292,73,15260,219,4448,0.25,0.0161468701614687,0.030334510700186994,0.01414820078816461,0.9838531298385313,0.9858517992118354,0.76665,0.500999334686652,0.22416804382879818
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,finance_A1_r10_s44,finance,A1,0.1,AI_CONSENSUS,20000,4521,1555,314,14238,1241,4207,0.20192926045016077,0.06945366069453661,0.10335747202106649,0.08017313779959946,0.9305463393054634,0.9198268622004006,0.7276,0.4946402614474686,0.21735260141558707
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,finance_A1_r10_s44,finance,A1,0.1,HYBRID_V1,20000,4521,4102,871,12248,3231,3650,0.21233544612384203,0.19265649192656492,0.20201785921373072,0.20873441436785323,0.8073435080734351,0.7912655856321468,0.65595,0.4919610387793558,0.21571378033582386
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,finance_A2_r01_s142,finance,A2,0.01,RULE_ONLY,20000,452,1626,0,17922,1626,452,0.0,0.0,0.0,0.08317986494782074,1.0,0.9168201350521793,0.8961,0.45841006752608965,0.0226
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,finance_A2_r01_s142,finance,A2,0.01,ISOLATION_FOREST,20000,452,1370,34,18212,1336,418,0.024817518248175182,0.0752212389380531,0.03732162458836443,0.06834458768160426,0.9247787610619469,0.9316554123183958,0.9123,0.5034383256282244,0.022809537862149624
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,finance_A2_r01_s142,finance,A2,0.01,LOCAL_OUTLIER_FACTOR,20000,452,282,8,19274,274,444,0.028368794326241134,0.017699115044247787,0.021798365122615803,0.014016779210149375,0.9823008849557522,0.9859832207898507,0.9641,0.5018411679170492,0.02259710182239506
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,finance_A2_r01_s142,finance,A2,0.01,AI_CONSENSUS,20000,452,1569,41,18020,1528,411,0.026131293817718292,0.09070796460176991,0.04057397328055418,0.07816656435440966,0.9092920353982301,0.9218334356455904,0.90305,0.5062707001236801,0.021891334157413966
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,finance_A2_r01_s142,finance,A2,0.01,HYBRID_V1,20000,452,4045,64,15567,3981,388,0.015822002472187888,0.1415929203539823,0.02846342005781632,0.20365254757519952,0.8584070796460177,0.7963474524248005,0.78155,0.4689701863893914,0.024327557517091994
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,finance_A2_r05_s143,finance,A2,0.05,RULE_ONLY,20000,2261,1450,0,16289,1450,2261,0.0,0.0,0.0,0.08174079711370427,1.0,0.9182592028862957,0.81445,0.45912960144314785,0.11305
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,finance_A2_r05_s143,finance,A2,0.05,ISOLATION_FOREST,20000,2261,1359,167,16547,1192,2094,0.12288447387785136,0.07386112339672711,0.09226519337016574,0.06719657252381758,0.9261388766032729,0.9328034274761824,0.8357,0.5033322754364548,0.1126210209794737
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,finance_A2_r05_s143,finance,A2,0.05,LOCAL_OUTLIER_FACTOR,20000,2261,276,27,17490,249,2234,0.09782608695652174,0.011941618752764263,0.02128498226251478,0.014036867918146456,0.9880583812472358,0.9859631320818535,0.87585,0.49895237541730886,0.11487805710255183
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,finance_A2_r05_s143,finance,A2,0.05,AI_CONSENSUS,20000,2261,1553,185,16371,1368,2076,0.11912427559562137,0.08182220256523662,0.09701101206082853,0.07711821410451547,0.9181777974347634,0.9228817858954845,0.8278,0.5023519942303606,0.11487668982479371
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,finance_A2_r05_s143,finance,A2,0.05,HYBRID_V1,20000,2261,3904,329,14164,3575,1932,0.08427254098360656,0.14551083591331268,0.1067315490673155,0.20153334460792605,0.8544891640866873,0.798466655392074,0.72465,0.47198874565269333,0.12318605110177594
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,finance_A2_r10_s144,finance,A2,0.1,RULE_ONLY,20000,4521,1269,0,14210,1269,4521,0.0,0.0,0.0,0.08198204018347438,1.0,0.9180179598165256,0.7105,0.4590089799082628,0.22605
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,finance_A2_r10_s144,finance,A2,0.1,ISOLATION_FOREST,20000,4521,1323,280,14436,1043,4241,0.21164021164021163,0.061933200619332,0.09582477754962354,0.06738161379934104,0.938066799380668,0.932618386200659,0.7358,0.4972757934099955,0.22266894369426404
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,finance_A2_r10_s144,finance,A2,0.1,LOCAL_OUTLIER_FACTOR,20000,4521,290,65,15254,225,4456,0.22413793103448276,0.0143773501437735,0.02702140927042195,0.01453582272756638,0.9856226498562265,0.9854641772724336,0.76595,0.49992076370810357,0.22515853550115436
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,finance_A2_r10_s144,finance,A2,0.1,AI_CONSENSUS,20000,4521,1525,327,14281,1198,4194,0.21442622950819673,0.07232913072329131,0.10817069136619252,0.0773951805672201,0.9276708692767087,0.9226048194327799,0.7304,0.4974669750780356,0.22386652476938657
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,finance_A2_r10_s144,finance,A2,0.1,HYBRID_V1,20000,4521,3736,624,12367,3112,3897,0.1670235546038544,0.13802256138022562,0.15114448346857212,0.20104657923638478,0.8619774386197744,0.7989534207636152,0.64955,0.4684879910719204,0.2374265453865065
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,finance_A3_r01_s242,finance,A3,0.01,RULE_ONLY,20000,452,1594,27,17981,1567,425,0.016938519447929738,0.059734513274336286,0.026392961876832845,0.08016165336607325,0.9402654867256637,0.9198383466339267,0.9004,0.4897864299541315,0.02226181421480996
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,finance_A3_r01_s242,finance,A3,0.01,ISOLATION_FOREST,20000,452,1362,35,18221,1327,417,0.02569750367107195,0.07743362831858407,0.03858875413450937,0.0678841825250665,0.922566371681416,0.9321158174749336,0.9128,0.5047747228967588,0.02350559928039295
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,finance_A3_r01_s242,finance,A3,0.01,LOCAL_OUTLIER_FACTOR,20000,452,746,452,19254,294,0,0.6058981233243967,1.0,0.7545909849749582,0.015039901780233272,0.0,0.9849600982197667,0.9853,0.9924800491098833,1.0
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,finance_A3_r01_s242,finance,A3,0.01,AI_CONSENSUS,20000,452,1998,452,18002,1546,0,0.22622622622622623,1.0,0.3689795918367347,0.07908737466748517,0.0,0.9209126253325148,0.9227,0.9604563126662574,0.10664196775816545
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,finance_A3_r01_s242,finance,A3,0.01,HYBRID_V1,20000,452,4267,452,15733,3815,0,0.10592922427935318,1.0,0.19156600974782792,0.19516063024350316,0.0,0.8048393697564968,0.80925,0.9024196848782484,0.19485754654224982
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,finance_A3_r05_s243,finance,A3,0.05,RULE_ONLY,20000,2261,1640,163,16262,1477,2098,0.09939024390243903,0.07209199469261389,0.08356831581645732,0.08326286712892497,0.9279080053073862,0.9167371328710751,0.82125,0.49441456378184445,0.11206524093591225
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,finance_A3_r05_s243,finance,A3,0.05,ISOLATION_FOREST,20000,2261,1388,149,16500,1239,2112,0.10734870317002881,0.0659000442282176,0.08166620992052617,0.06984610180957213,0.9340999557717824,0.9301538981904278,0.83245,0.4980269712093227,0.1131807438504375
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,finance_A3_r05_s243,finance,A3,0.05,LOCAL_OUTLIER_FACTOR,20000,2261,2508,2261,17492,247,0,0.9015151515151515,1.0,0.9482071713147411,0.013924121991093072,0.0,0.986075878008907,0.98765,0.9930379390044535,1.0
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,finance_A3_r05_s243,finance,A3,0.05,AI_CONSENSUS,20000,2261,3676,2261,16324,1415,0,0.6150707290533188,1.0,0.7616641401381169,0.07976774339027003,0.0,0.92023225660973,0.92925,0.9601161283048649,0.36924041537724694
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,finance_A3_r05_s243,finance,A3,0.05,HYBRID_V1,20000,2261,5436,2261,14564,3175,0,0.4159308314937454,1.0,0.5875016240093542,0.178984159197249,0.0,0.821015840802751,0.84125,0.9105079204013755,0.564377372486433
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,finance_A3_r10_s244,finance,A3,0.1,RULE_ONLY,20000,4521,1667,378,14190,1289,4143,0.22675464907018597,0.0836098208360982,0.12217194570135746,0.08327411331481362,0.9163901791639018,0.9167258866851864,0.7284,0.5001678537606423,0.22610891558251056
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,finance_A3_r10_s244,finance,A3,0.1,ISOLATION_FOREST,20000,4521,1386,307,14400,1079,4214,0.2215007215007215,0.06790533067905331,0.10394447265955646,0.06970734543575166,0.9320946693209466,0.9302926545642484,0.73535,0.49909899262165086,0.2214549136279738
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,finance_A3_r10_s244,finance,A3,0.1,LOCAL_OUTLIER_FACTOR,20000,4521,4725,4521,15275,204,0,0.9568253968253968,1.0,0.9779364049318624,0.013179145939660184,0.0,0.9868208540603398,0.9898,0.9934104270301699,0.9999998532682165
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,finance_A3_r10_s244,finance,A3,0.1,AI_CONSENSUS,20000,4521,5754,4521,14246,1233,0,0.7857142857142857,1.0,0.88,0.07965630854706376,0.0,0.9203436914529363,0.93835,0.9601718457264681,0.5828555935135207
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,finance_A3_r10_s244,finance,A3,0.1,HYBRID_V1,20000,4521,6866,4405,13018,2461,116,0.6415671424410136,0.9743419597434196,0.7736892948098709,0.1589895988112927,0.025658040256580403,0.8410104011887073,0.87115,0.9076761804660635,0.7543321337403004
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,finance_A4_r01_s342,finance,A4,0.01,RULE_ONLY,20000,452,1621,31,17958,1590,421,0.019123997532387416,0.06858407079646017,0.029908345393150026,0.08133824432166974,0.9314159292035398,0.9186617556783303,0.89945,0.49362291323739527,0.022361601600672583
