records,true_anomalies,predicted_anomalies,tp,tn,fp,fn,precision,recall,f1,false_positive_rate,false_negative_rate,specificity,balanced_accuracy,experiment_id,dataset,outer_fold,method,true_positive,false_positive,false_negative,true_negative,anomaly_type,anomaly_rate
10000.0,1000.0,598.0,74.0,8476.0,524.0,926.0,0.12374581939799331,0.074,0.09261576971214018,0.058222222222222224,0.926,0.9417777777777778,0.507888888888889,finance_A2_r10_s144,finance,1.0,HYBRID_V3_NESTED,,,,,,
10000.0,1000.0,2556.0,1000.0,7444.0,1556.0,0.0,0.39123630672926446,1.0,0.562429696287964,0.1728888888888889,0.0,0.8271111111111111,0.9135555555555556,finance_A2_r10_s144,finance,1.0,RULE_ONLY,,,,,,
10000.0,100.0,867.0,100.0,9133.0,767.0,0.0,0.11534025374855825,1.0,0.2068252326783868,0.07747474747474747,0.0,0.9225252525252525,0.9612626262626263,finance_A3_r01_s242,finance,2.0,AI_CONSENSUS,,,,,,
10000.0,100.0,1377.0,100.0,8623.0,1277.0,0.0,0.07262164124909223,1.0,0.13540961408259986,0.128989898989899,0.0,0.871010101010101,0.9355050505050505,finance_A3_r01_s242,finance,2.0,HYBRID_V1,,,,,,
10000.0,100.0,595.0,70.0,9375.0,525.0,30.0,0.11764705882352941,0.7,0.2014388489208633,0.05303030303030303,0.3,0.946969696969697,0.8234848484848485,finance_A3_r01_s242,finance,2.0,HYBRID_V3_NESTED,,,,,,
10000.0,100.0,944.0,100.0,9056.0,844.0,0.0,0.1059322033898305,1.0,0.19157088122605365,0.08525252525252525,0.0,0.9147474747474748,0.9573737373737374,finance_A3_r01_s242,finance,2.0,RULE_ONLY,,,,,,
10000.0,500.0,1247.0,500.0,8753.0,747.0,0.0,0.40096230954290296,1.0,0.5724098454493417,0.07863157894736843,0.0,0.9213684210526316,0.9606842105263158,finance_A3_r05_s243,finance,1.0,AI_CONSENSUS,,,,,,
10000.0,500.0,1730.0,500.0,8270.0,1230.0,0.0,0.28901734104046245,1.0,0.4484304932735427,0.12947368421052632,0.0,0.8705263157894737,0.9352631578947368,finance_A3_r05_s243,finance,1.0,HYBRID_V1,,,,,,
10000.0,500.0,799.0,310.0,9011.0,489.0,190.0,0.3879849812265332,0.62,0.47729022324865283,0.05147368421052632,0.38,0.9485263157894737,0.7842631578947368,finance_A3_r05_s243,finance,1.0,HYBRID_V3_NESTED,,,,,,
10000.0,500.0,1312.0,500.0,8688.0,812.0,0.0,0.38109756097560976,1.0,0.5518763796909493,0.08547368421052631,0.0,0.9145263157894736,0.9572631578947368,finance_A3_r05_s243,finance,1.0,RULE_ONLY,,,,,,
10000.0,1000.0,1723.0,1000.0,8277.0,723.0,0.0,0.5803830528148578,1.0,0.7344840249724569,0.08033333333333334,0.0,0.9196666666666666,0.9598333333333333,finance_A3_r10_s244,finance,3.0,AI_CONSENSUS,,,,,,
10000.0,1000.0,2124.0,1000.0,7876.0,1124.0,0.0,0.4708097928436911,1.0,0.6402048655569782,0.12488888888888888,0.0,0.8751111111111111,0.9375555555555555,finance_A3_r10_s244,finance,3.0,HYBRID_V1,,,,,,
10000.0,1000.0,1026.0,580.0,8554.0,446.0,420.0,0.5653021442495126,0.58,0.5725567620927937,0.049555555555555554,0.42,0.9504444444444444,0.7652222222222222,finance_A3_r10_s244,finance,3.0,HYBRID_V3_NESTED,,,,,,
10000.0,1000.0,1742.0,1000.0,8258.0,742.0,0.0,0.574052812858783,1.0,0.7293946024799416,0.08244444444444445,0.0,0.9175555555555556,0.9587777777777777,finance_A3_r10_s244,finance,3.0,RULE_ONLY,,,,,,
10000.0,100.0,856.0,100.0,9144.0,756.0,0.0,0.11682242990654206,1.0,0.20920502092050208,0.07636363636363637,0.0,0.9236363636363636,0.9618181818181818,finance_A4_r01_s342,finance,3.0,AI_CONSENSUS,,,,,,
10000.0,100.0,1360.0,75.0,8615.0,1285.0,25.0,0.05514705882352941,0.75,0.10273972602739725,0.1297979797979798,0.25,0.8702020202020202,0.8101010101010101,finance_A4_r01_s342,finance,3.0,HYBRID_V1,,,,,,
10000.0,100.0,593.0,75.0,9382.0,518.0,25.0,0.12647554806070826,0.75,0.21645021645021645,0.05232323232323232,0.25,0.9476767676767677,0.8488383838383838,finance_A4_r01_s342,finance,3.0,HYBRID_V3_NESTED,,,,,,
10000.0,100.0,862.0,1.0,9039.0,861.0,99.0,0.001160092807424594,0.01,0.0020790020790020787,0.08696969696969697,0.99,0.9130303030303031,0.46151515151515154,finance_A4_r01_s342,finance,3.0,RULE_ONLY,,,,,,
10000.0,500.0,1269.0,500.0,8731.0,769.0,0.0,0.39401103230890466,1.0,0.5652911249293385,0.08094736842105263,0.0,0.9190526315789473,0.9595263157894737,finance_A4_r05_s343,finance,2.0,AI_CONSENSUS,,,,,,
10000.0,500.0,1614.0,379.0,8265.0,1235.0,121.0,0.23482032218091697,0.758,0.35856196783349104,0.13,0.242,0.87,0.8140000000000001,finance_A4_r05_s343,finance,2.0,HYBRID_V1,,,,,,
10000.0,500.0,880.0,379.0,8999.0,501.0,121.0,0.43068181818181817,0.758,0.5492753623188406,0.05273684210526316,0.242,0.9472631578947368,0.8526315789473684,finance_A4_r05_s343,finance,2.0,HYBRID_V3_NESTED,,,,,,
10000.0,500.0,825.0,7.0,8682.0,818.0,493.0,0.008484848484848486,0.014,0.010566037735849057,0.08610526315789474,0.986,0.9138947368421053,0.46394736842105266,finance_A4_r05_s343,finance,2.0,RULE_ONLY,,,,,,
10000.0,1000.0,1722.0,1000.0,8278.0,722.0,0.0,0.5807200929152149,1.0,0.7347538574577516,0.08022222222222222,0.0,0.9197777777777778,0.9598888888888889,finance_A4_r10_s344,finance,1.0,AI_CONSENSUS,,,,,,
10000.0,1000.0,1804.0,703.0,7899.0,1101.0,297.0,0.389689578713969,0.703,0.5014265335235378,0.12233333333333334,0.297,0.8776666666666667,0.7903333333333333,finance_A4_r10_s344,finance,1.0,HYBRID_V1,,,,,,
10000.0,1000.0,1142.0,700.0,8558.0,442.0,300.0,0.6129597197898424,0.7,0.6535947712418301,0.04911111111111111,0.3,0.9508888888888889,0.8254444444444444,finance_A4_r10_s344,finance,1.0,HYBRID_V3_NESTED,,,,,,
10000.0,1000.0,754.0,28.0,8274.0,726.0,972.0,0.03713527851458886,0.028,0.03192702394526796,0.08066666666666666,0.972,0.9193333333333333,0.4736666666666667,finance_A4_r10_s344,finance,1.0,RULE_ONLY,,,,,,
10000.0,100.0,775.0,12.0,9137.0,763.0,88.0,0.015483870967741935,0.12,0.02742857142857143,0.07707070707070707,0.88,0.9229292929292929,0.5214646464646464,finance_A5_r01_s442,finance,2.0,AI_CONSENSUS,,,,,,
10000.0,100.0,1264.0,12.0,8648.0,1252.0,88.0,0.00949367088607595,0.12,0.017595307917888565,0.12646464646464647,0.88,0.8735353535353535,0.49676767676767675,finance_A5_r01_s442,finance,2.0,HYBRID_V1,,,,,,
10000.0,100.0,521.0,5.0,9384.0,516.0,95.0,0.009596928982725527,0.05,0.01610305958132045,0.052121212121212124,0.95,0.9478787878787879,0.49893939393939396,finance_A5_r01_s442,finance,2.0,HYBRID_V3_NESTED,,,,,,
10000.0,100.0,830.0,8.0,9078.0,822.0,92.0,0.00963855421686747,0.08,0.017204301075268817,0.08303030303030302,0.92,0.916969696969697,0.4984848484848485,finance_A5_r01_s442,finance,2.0,RULE_ONLY,,,,,,
10000.0,500.0,815.0,91.0,8776.0,724.0,409.0,0.1116564417177914,0.182,0.13840304182509508,0.07621052631578948,0.818,0.9237894736842105,0.5528947368421052,finance_A5_r05_s443,finance,3.0,AI_CONSENSUS,,,,,,
10000.0,500.0,1290.0,88.0,8298.0,1202.0,412.0,0.06821705426356589,0.176,0.09832402234636871,0.12652631578947368,0.824,0.8734736842105263,0.5247368421052632,finance_A5_r05_s443,finance,3.0,HYBRID_V1,,,,,,
10000.0,500.0,532.0,47.0,9015.0,485.0,453.0,0.08834586466165413,0.094,0.09108527131782944,0.05105263157894737,0.906,0.9489473684210527,0.5214736842105263,finance_A5_r05_s443,finance,3.0,HYBRID_V3_NESTED,,,,,,
10000.0,500.0,845.0,48.0,8703.0,797.0,452.0,0.05680473372781065,0.096,0.07137546468401487,0.08389473684210526,0.904,0.9161052631578948,0.5060526315789474,finance_A5_r05_s443,finance,3.0,RULE_ONLY,,,,,,
10000.0,1000.0,877.0,169.0,8292.0,708.0,831.0,0.19270239452679588,0.169,0.1800745871070858,0.07866666666666666,0.831,0.9213333333333333,0.5451666666666667,finance_A5_r10_s444,finance,1.0,AI_CONSENSUS,,,,,,
10000.0,1000.0,1303.0,159.0,7856.0,1144.0,841.0,0.12202609363008442,0.159,0.13808076422058185,0.12711111111111112,0.841,0.8728888888888889,0.5159444444444444,finance_A5_r10_s444,finance,1.0,HYBRID_V1,,,,,,
10000.0,1000.0,557.0,96.0,8539.0,461.0,904.0,0.17235188509874327,0.096,0.12331406551059729,0.051222222222222225,0.904,0.9487777777777778,0.5223888888888889,finance_A5_r10_s444,finance,1.0,HYBRID_V3_NESTED,,,,,,
10000.0,1000.0,834.0,81.0,8247.0,753.0,919.0,0.09712230215827339,0.081,0.08833151581243184,0.08366666666666667,0.919,0.9163333333333333,0.49866666666666665,finance_A5_r10_s444,finance,1.0,RULE_ONLY,,,,,,
10000.0,100.0,780.0,11.0,9131.0,769.0,89.0,0.014102564102564103,0.11,0.024999999999999998,0.07767676767676768,0.89,0.9223232323232323,0.5161616161616162,finance_A6_r01_s542,finance,2.0,AI_CONSENSUS,,,,,,
10000.0,100.0,1295.0,13.0,8618.0,1282.0,87.0,0.010038610038610039,0.13,0.01863799283154122,0.1294949494949495,0.87,0.8705050505050506,0.5002525252525253,finance_A6_r01_s542,finance,2.0,HYBRID_V1,,,,,,
10000.0,100.0,572.0,8.0,9336.0,564.0,92.0,0.013986013986013986,0.08,0.023809523809523808,0.05696969696969697,0.92,0.943030303030303,0.5115151515151515,finance_A6_r01_s542,finance,2.0,HYBRID_V3_NESTED,,,,,,
10000.0,100.0,817.0,6.0,9089.0,811.0,94.0,0.0073439412484700125,0.06,0.013086150490730643,0.08191919191919192,0.94,0.918080808080808,0.48904040404040405,finance_A6_r01_s542,finance,2.0,RULE_ONLY,,,,,,
10000.0,500.0,796.0,52.0,8756.0,744.0,448.0,0.06532663316582915,0.104,0.08024691358024692,0.07831578947368421,0.896,0.9216842105263158,0.5128421052631579,finance_A6_r05_s543,finance,2.0,AI_CONSENSUS,,,,,,
10000.0,500.0,1305.0,65.0,8260.0,1240.0,435.0,0.04980842911877394,0.13,0.07202216066481994,0.13052631578947368,0.87,0.8694736842105263,0.49973684210526315,finance_A6_r05_s543,finance,2.0,HYBRID_V1,,,,,,
10000.0,500.0,548.0,35.0,8987.0,513.0,465.0,0.06386861313868614,0.07,0.06679389312977099,0.054,0.93,0.946,0.508,finance_A6_r05_s543,finance,2.0,HYBRID_V3_NESTED,,,,,,
10000.0,500.0,858.0,37.0,8679.0,821.0,463.0,0.04312354312354312,0.074,0.05449189985272459,0.08642105263157895,0.926,0.913578947368421,0.4937894736842105,finance_A6_r05_s543,finance,2.0,RULE_ONLY,,,,,,
10000.0,1000.0,789.0,120.0,8331.0,669.0,880.0,0.1520912547528517,0.12,0.13415315818893236,0.07433333333333333,0.88,0.9256666666666666,0.5228333333333333,finance_A6_r10_s544,finance,2.0,AI_CONSENSUS,,,,,,
10000.0,1000.0,1274.0,154.0,7880.0,1120.0,846.0,0.12087912087912088,0.154,0.13544415127528586,0.12444444444444444,0.846,0.8755555555555555,0.5147777777777778,finance_A6_r10_s544,finance,2.0,HYBRID_V1,,,,,,
10000.0,1000.0,548.0,94.0,8546.0,454.0,906.0,0.17153284671532848,0.094,0.12144702842377261,0.050444444444444445,0.906,0.9495555555555556,0.5217777777777778,finance_A6_r10_s544,finance,2.0,HYBRID_V3_NESTED,,,,,,
10000.0,1000.0,811.0,71.0,8260.0,740.0,929.0,0.08754623921085081,0.071,0.07840971838763112,0.08222222222222222,0.929,0.9177777777777778,0.4943888888888889,finance_A6_r10_s544,finance,2.0,RULE_ONLY,,,,,,
10000.0,100.0,783.0,15.0,9132.0,768.0,85.0,0.019157088122605363,0.15,0.03397508493771234,0.07757575757575758,0.85,0.9224242424242424,0.5362121212121211,finance_A7_r01_s642,finance,3.0,AI_CONSENSUS,,,,,,
10000.0,100.0,1250.0,15.0,8665.0,1235.0,85.0,0.012,0.15,0.02222222222222222,0.12474747474747475,0.85,0.8752525252525253,0.5126262626262627,finance_A7_r01_s642,finance,3.0,HYBRID_V1,,,,,,
10000.0,100.0,538.0,9.0,9371.0,529.0,91.0,0.016728624535315983,0.09,0.028213166144200625,0.05343434343434343,0.91,0.9465656565656566,0.5182828282828283,finance_A7_r01_s642,finance,3.0,HYBRID_V3_NESTED,,,,,,
10000.0,100.0,811.0,6.0,9095.0,805.0,94.0,0.007398273736128237,0.06,0.013172338090010977,0.08131313131313131,0.94,0.9186868686868687,0.4893434343434343,finance_A7_r01_s642,finance,3.0,RULE_ONLY,,,,,,
10000.0,500.0,841.0,87.0,8746.0,754.0,413.0,0.10344827586206896,0.174,0.12975391498881433,0.07936842105263157,0.826,0.9206315789473685,0.5473157894736842,finance_A7_r05_s643,finance,3.0,AI_CONSENSUS,,,,,,
10000.0,500.0,1320.0,98.0,8278.0,1222.0,402.0,0.07424242424242425,0.196,0.1076923076923077,0.12863157894736843,0.804,0.8713684210526316,0.5336842105263158,finance_A7_r05_s643,finance,3.0,HYBRID_V1,,,,,,
10000.0,500.0,585.0,62.0,8977.0,523.0,438.0,0.10598290598290598,0.124,0.11428571428571428,0.05505263157894737,0.876,0.9449473684210526,0.5344736842105263,finance_A7_r05_s643,finance,3.0,HYBRID_V3_NESTED,,,,,,
10000.0,500.0,833.0,44.0,8711.0,789.0,456.0,0.05282112845138055,0.088,0.0660165041260315,0.08305263157894736,0.912,0.9169473684210526,0.5024736842105263,finance_A7_r05_s643,finance,3.0,RULE_ONLY,,,,,,
