dataset,macro_precision,macro_recall,macro_f1,macro_fpr,macro_fnr,macro_balanced_accuracy,method
finance,0.164298026629876,0.6131904761904762,0.24134554615041573,0.1460315941368573,0.38680952380952377,0.7335794410268095,HYBRID_V3_GOVERNED
healthcare,0.5177656030988589,0.6535238095238095,0.5268586645226212,0.020250651882230828,0.3464761904761905,0.8166365788207893,HYBRID_V3_GOVERNED
retail,0.15308975579384762,0.8820952380952382,0.24681535656615233,0.2557509683299157,0.1179047619047619,0.8131721348826612,HYBRID_V3_GOVERNED
